,host_id,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_listings_count,host_total_listings_count,host_verifications,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
6431,278176,04/11/2010,within a few hours,90%,83%,1,3,"['email', 'phone']",Maxvorstadt,48.15233271,11.57270093,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,2.0,"[""Heating"", ""Hot water kettle"", ""Dishes and silverware"", ""Host greets you"", ""Bed linens"", ""Free washer \u2013 In unit"", ""Hangers"", ""Microwave"", ""Iron"", ""Room-darkening shades"", ""Cooking basics"", ""Hot water"", ""Hair dryer"", ""Clothing storage"", ""Other stove"", ""Refrigerator"", ""Smoke alarm"", ""Kitchenette"", ""Dining table"", ""Wifi"", ""Toaster""]",$296.00,2,30,2.0,30.0,t,5,5,5,5,2,2,1,29/07/2024,13/09/2024,5.0,5.0,5.0,5.0,5.0,5.0,4.5,f,1,1,0,0,1.02
6433,393652123,22/03/2021,within a few hours,100%,89%,3,3,"['email', 'phone']",Ramersdorf-Perlach,48.10905,11.62771,Private room in home,Private room,2,0.5,Shared half-bath,1.0,2.0,"[""Smoke alarm"", ""TV"", ""Cooking basics"", ""Hot water"", ""Washer"", ""Heating"", ""Hair dryer"", ""Clothing storage"", ""Dryer"", ""Air conditioning"", ""Patio or balcony"", ""Lock on bedroom door"", ""Room-darkening shades"", ""Wifi"", ""Backyard"", ""Host greets you"", ""Refrigerator"", ""Bed linens""]",$149.00,1,365,1.0,365.0,t,23,53,83,358,2,2,1,20/06/2024,31/08/2024,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,3,0,3,0,0.61
6437,91595585,24/08/2016,within an hour,100%,39%,7,14,"['email', 'phone']",Milbertshofen-Am Hart,48.19715639,11.57883129,Private room in rental unit,Private room,3,1.0,1 bath,1.0,1.0,"[""Smoke alarm"", ""Washer"", ""Free parking on premises"", ""Lock on bedroom door"", ""Wifi""]",$92.00,1,365,1.0,365.0,t,3,26,56,236,1,1,0,21/06/2024,21/06/2024,5.0,5.0,5.0,5.0,5.0,5.0,4.0,f,5,0,5,0,0.31
6439,46053408,08/10/2015,within an hour,100%,99%,17,39,"['email', 'phone', 'work_email']",Altstadt-Lehel,48.14766391,11.59511085,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Hot water kettle"", ""Lockbox"", ""Self check-in"", ""Dishes and silverware"", ""Wine glasses"", ""Elevator"", ""Cleaning products"", ""Bose Bluetooth sound system"", ""Hangers"", ""TV"", ""Fire extinguisher"", ""Washer"", ""Microwave"", ""Iron"", ""Coffee maker: Nespresso"", ""Freezer"", ""Room-darkening shades"", ""Clothing storage: wardrobe"", ""Cooking basics"", ""Hot water"", ""Hair dryer"", ""Shower gel"", ""First aid kit"", ""Coffee"", ""Essentials"", ""Other electric stove"", ""Paid street parking off premises"", ""Shampoo"", ""Refrigerator"", ""Smoke alarm"", ""Central heating"", ""Dining table"", ""Kitchen"", ""Wifi"", ""Body soap"", ""Toaster""]",$341.00,2,90,3.7,1125.0,t,7,34,59,83,6,6,1,23/06/2024,03/09/2024,5.0,5.0,5.0,4.67,5.0,4.83,5.0,t,4,4,0,0,1.89
6440,46053408,08/10/2015,within an hour,100%,99%,17,39,"['email', 'phone', 'work_email']",Untergiesing-Harlaching,48.10777,11.57114,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Hot water kettle"", ""Lockbox"", ""Self check-in"", ""Dishes and silverware"", ""Wine glasses"", ""Bed linens"", ""Dedicated workspace"", ""Cleaning products"", ""Fire extinguisher"", ""Hangers"", ""TV"", ""Microwave"", ""Iron"", ""Coffee maker: Nespresso"", ""Freezer"", ""Room-darkening shades"", ""Cooking basics"", ""Hot water"", ""Hair dryer"", ""Shower gel"", ""First aid kit"", ""Coffee"", ""Essentials"", ""Other electric stove"", ""Window guards"", ""Stainless steel single oven"", ""Clothing storage: closet"", ""Paid street parking off premises"", ""Refrigerator"", ""Baking sheet"", ""Smoke alarm"", ""Central heating"", ""Dining table"", ""Kitchen"", ""Wifi"", ""Body soap"", ""Toaster""]",$231.00,2,90,3.7,1125.0,t,9,28,58,333,3,3,1,12/07/2024,26/08/2024,4.67,5.0,5.0,4.67,5.0,4.67,4.33,t,4,4,0,0,1.18
6441,579821235,26/05/2024,within an hour,100%,37%,1,1,['phone'],Ramersdorf-Perlach,48.08949981,11.64207222,Private room in rental unit,Private room,2,0.5,Half-bath,1.0,1.0,"[""Smoke alarm"", ""TV"", ""Washer"", ""Free parking on premises"", ""First aid kit"", ""Kitchen"", ""Lock on bedroom door"", ""Wifi""]",$70.00,1,365,1.0,365.0,t,22,52,82,262,6,6,2,25/06/2024,09/09/2024,4.5,4.5,4.33,4.67,5.0,4.83,4.5,f,1,0,1,0,1.94
6442,565101353,03/03/2024,a few days or more,0%,33%,1,1,"['email', 'phone']",Ludwigsvorstadt-Isarvorstadt,48.12726707,11.5742844,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Smoke alarm"", ""Dedicated workspace"", ""TV"", ""Carbon monoxide alarm"", ""Washer"", ""Kitchen""]",$200.00,1,5,1.0,5.0,t,23,53,83,83,1,1,0,20/06/2024,20/06/2024,1.0,2.0,1.0,4.0,3.0,4.0,1.0,f,1,1,0,0,0.31
6443,1819530,27/02/2012,within an hour,100%,75%,1,1,"['email', 'phone']",Au-Haidhausen,48.12172,11.57973,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,2.0,"[""Outdoor furniture"", ""Dishes and silverware"", ""Crib"", ""Host greets you"", ""Other induction stove"", ""Bed linens"", ""Elevator"", ""TV"", ""Washer"", ""Iron"", ""Freezer"", ""Room-darkening shades"", ""Bathtub"", ""Cooking basics"", ""Hot water"", ""Clothing storage: closet, wardrobe, and dresser"", ""Hair dryer"", ""Shower gel"", ""Essentials"", ""Dishwasher"", ""Shampoo"", ""Central heating"", ""Paid parking garage off premises"", ""Dining table"", ""Outdoor dining area"", ""Kitchen"", ""Wifi""]",$312.00,2,50,2.1,50.0,t,0,0,3,80,5,5,2,21/06/2024,24/09/2024,5.0,5.0,5.0,5.0,5.0,5.0,4.8,f,1,1,0,0,1.55
6447,284713684,11/08/2019,within an hour,90%,79%,1,1,"['email', 'phone']",Laim,48.13316,11.49584,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,1.0,"[""Heating"", ""Paid washer \u2013 In unit"", ""Hot water kettle"", ""Free parking on premises"", ""Dishes and silverware"", ""Stove"", ""Host greets you"", ""Bed linens"", ""Hangers"", ""TV"", ""Sound system"", ""Exercise equipment"", ""Iron"", ""Room-darkening shades"", ""Cooking basics"", ""Hot water"", ""Hair dryer"", ""Refrigerator"", ""Smoking allowed"", ""Books and reading material"", ""Kitchen"", ""Wifi"", ""Toaster""]",$100.00,1,14,1.0,14.0,t,21,51,58,142,5,5,1,21/06/2024,01/09/2024,4.8,4.8,4.6,5.0,4.8,4.8,4.4,f,1,0,1,0,1.55
6452,393652123,22/03/2021,within a few hours,100%,89%,3,3,"['email', 'phone']",Ramersdorf-Perlach,48.10755944,11.62741447,Private room in home,Private room,1,0.5,Private half-bath,1.0,1.0,"[""Luggage dropoff allowed"", ""Dishes and silverware"", ""Host greets you"", ""Bed linens"", ""Dedicated workspace"", ""Hangers"", ""Paid dryer \u2013 In building"", ""Microwave"", ""Free street parking"", ""Lock on bedroom door"", ""Room-darkening shades"", ""Clothing storage: wardrobe"", ""Bathtub"", ""Hot water"", ""Oven"", ""Hair dryer"", ""Shower gel"", ""Extra pillows and blankets"", ""Essentials"", ""Dishwasher"", ""Other electric stove"", ""Shampoo"", ""Refrigerator"", ""Smoke alarm"", ""Central heating"", ""Paid washer \u2013 In building"", ""Dining table"", ""Kitchen"", ""Wifi"", ""Body soap""]",$80.00,1,365,1.0,365.0,t,22,52,82,357,9,9,2,23/06/2024,01/09/2024,4.78,4.78,4.67,5.0,4.89,4.67,4.44,f,3,0,3,0,2.84
6453,114931681,05/02/2017,within an hour,100%,86%,1,1,['phone'],Neuhausen-Nymphenburg,48.15906297,11.53907514,Entire rental unit,Entire home/apt,6,1.0,1 bath,2.0,3.0,"[""BBQ grill"", ""Outdoor furniture"", ""Luggage dropoff allowed"", ""Hot water kettle"", ""Dishes and silverware"", ""Crib"", ""Host greets you"", ""Portable fans"", ""Wine glasses"", ""Bed linens"", ""Dedicated workspace"", ""Cleaning products"", ""Fire extinguisher"", ""Hangers"", ""Iron"", ""Indoor fireplace"", ""Children's playroom"", ""Rice maker"", ""Room-darkening shades"", ""Free washer \u2013 In building"", ""Bathtub"", ""Hot water"", ""Children\u2019s books and toys for ages 5-10 years old and 10+ years old"", ""Cleaning available during stay"", ""Hair dryer"", ""Clothing storage"", ""Shower gel"", ""Fire pit"", ""Drying rack for clothing"", ""Shampoo"", ""Refrigerator"", ""Smoke alarm"", ""Piano"", ""Central heating"", ""Barbecue utensils"", ""Ceiling fan"", ""Wifi"", ""Body soap"", ""Private sauna""]",$275.00,1,56,1.3,56.0,t,21,51,81,171,5,5,0,21/06/2024,11/08/2024,5.0,5.0,5.0,5.0,5.0,4.8,4.6,f,1,1,0,0,1.55
6456,583291297,13/06/2024,within an hour,100%,77%,1,1,"['email', 'phone']",Bogenhausen,48.15075254,11.62606878,Entire rental unit,Entire home/apt,3,1.0,1 bath,0.0,2.0,"[""Heating"", ""Hot water kettle"", ""Coffee maker: espresso machine"", ""Dishes and silverware"", ""Stove"", ""Elevator"", ""Bed linens"", ""Cleaning products"", ""Hangers"", ""TV"", ""Washer"", ""Iron"", ""Freezer"", ""Room-darkening shades"", ""Clothing storage: wardrobe"", ""Cooking basics"", ""Hot water"", ""Oven"", ""Hair dryer"", ""Shower gel"", ""Extra pillows and blankets"", ""Free dryer \u2013 In unit"", ""Coffee"", ""Conditioner"", ""Essentials"", ""Shampoo"", ""Refrigerator"", ""Smoke alarm"", ""Private patio or balcony"", ""Dining table"", ""Kitchen"", ""Wifi"", ""Body soap""]",$251.00,1,365,1.0,365.0,t,22,52,82,172,4,4,0,03/07/2024,08/08/2024,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1,1,0,0,1.41
6457,583311624,13/06/2024,within an hour,100%,97%,2,3,"['email', 'phone']",Milbertshofen-Am Hart,48.17915,11.55382,Entire rental unit,Entire home/apt,3,1.0,1 bath,1.0,2.0,"[""Heating"", ""Hot water kettle"", ""Free parking on premises"", ""Coffee maker"", ""Self check-in"", ""Dishes and silverware"", ""Wine glasses"", ""Bed linens"", ""Dedicated workspace"", ""Cleaning products"", ""Hangers"", ""Ethernet connection"", ""TV"", ""Microwave"", ""Iron"", ""Freezer"", ""Free street parking"", ""Hot water"", ""Hair dryer"", ""Clothing storage"", ""Shower gel"", ""First aid kit"", ""Shampoo"", ""Refrigerator"", ""Smoke alarm"", ""Smart lock"", ""Carbon monoxide alarm"", ""Paid parking on premises"", ""Kitchen"", ""Wifi"", ""Mini fridge"", ""Body soap""]",$177.00,1,365,1.0,365.0,t,2,2,2,84,8,8,1,20/06/2024,08/09/2024,4.88,4.88,4.88,5.0,5.0,5.0,4.88,t,1,1,0,0,2.45
6458,161793327,08/12/2017,within a few hours,100%,50%,1,1,"['email', 'phone']",Schwabing-Freimann,48.17978047,11.60178944,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,1.0,"[""Smoke alarm"", ""Washer"", ""Kitchen"", ""Lock on bedroom door"", ""Wifi"", ""Host greets you""]",$114.00,1,365,1.0,365.0,t,21,51,81,81,4,4,0,29/07/2024,25/08/2024,5.0,5.0,4.75,5.0,5.0,5.0,5.0,f,1,0,1,0,2.03
6459,149582193,07/09/2017,within an hour,100%,99%,3,3,"['email', 'phone']",Milbertshofen-Am Hart,48.179127,11.5652536,Private room in condo,Private room,5,2.0,2 shared baths,1.0,3.0,"[""BBQ grill"", ""Outlet covers"", ""Luggage dropoff allowed"", ""Heating"", ""Hot water kettle"", ""Free parking on premises"", ""Single level home"", ""Children\u2019s books and toys"", ""Pets allowed"", ""Dishes and silverware"", ""Crib"", ""Blender"", ""Stove"", ""Backyard"", ""Portable fans"", ""Wine glasses"", ""Elevator"", ""Host greets you"", ""Outdoor playground"", ""Cleaning products"", ""Fire extinguisher"", ""Hangers"", ""TV"", ""Laundromat nearby"", ""Sound system"", ""Iron"", ""Freezer"", ""Free street parking"", ""Lock on bedroom door"", ""Room-darkening shades"", ""Rice maker"", ""Baby bath"", ""Patio or balcony"", ""Bathtub"", ""Cooking basics"", ""Hot water"", ""Oven"", ""Hair dryer"", ""Clothing storage"", ""Shower gel"", ""Extra pillows and blankets"", ""High chair"", ""Children\u2019s dinnerware"", ""First aid kit"", ""Coffee"", ""Conditioner"", ""Essentials"", ""Window guards"", ""Dishwasher"", ""Long term stays allowed"", ""Drying rack for clothing"", ""Shampoo"", ""Refrigerator"", ""Books and reading material"", ""Baking sheet"", ""Smoke alarm"", ""Barbecue utensils"", ""Board games"", ""Dining table"", ""Outdoor dining area"", ""Kitchen"", ""Body soap"", ""Toaster""]",$104.00,1,90,1.0,90.0,t,17,17,18,18,29,29,6,19/06/2024,22/09/2024,4.97,4.97,5.0,5.0,5.0,4.97,4.83,f,3,0,3,0,8.79
6460,53024905,02/01/2016,within a few hours,100%,31%,3,3,"['email', 'phone']",Tudering-Riem,48.13225,11.6843,Private room in home,Private room,2,1.0,1 private bath,1.0,2.0,"[""Luggage dropoff allowed"", ""Heating"", ""Lockbox"", ""Self check-in"", ""Bed linens"", ""Dedicated workspace"", ""Fire extinguisher"", ""Hangers"", ""Ethernet connection"", ""Lake access"", ""Laundromat nearby"", ""Iron"", ""Lock on bedroom door"", ""Room-darkening shades"", ""Private entrance"", ""Hot water"", ""Clothing storage"", ""Shower gel"", ""First aid kit"", ""Essentials"", ""Window guards"", ""Shampoo"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""Paid parking on premises"", ""Wifi"", ""Body soap""]",$180.00,2,365,2.0,365.0,t,28,58,86,313,3,3,0,27/07/2024,10/08/2024,5.0,4.33,4.67,5.0,5.0,4.67,4.67,f,2,1,1,0,1.48
6461,29814308,22/03/2015,within a day,80%,78%,2,3,"['email', 'phone', 'work_email']",Laim,48.138622,11.517684,Entire rental unit,Entire home/apt,6,1.0,1 bath,3.0,3.0,"[""BBQ grill"", ""Heating"", ""Hot water kettle"", ""Single level home"", ""Coffee maker: espresso machine"", ""Lockbox"", ""Self check-in"", ""Dishes and silverware"", ""Wine glasses"", ""Bed linens"", ""Dedicated workspace"", ""Cleaning products"", ""Hangers"", ""TV"", ""Washer"", ""Iron"", ""Freezer"", ""Free street parking"", ""Room-darkening shades"", ""Bathtub"", ""Cooking basics"", ""Hot water"", ""Oven"", ""Hair dryer"", ""Clothing storage"", ""Shower gel"", ""Coffee"", ""Dishwasher"", ""Other electric stove"", ""Shampoo"", ""Refrigerator"", ""Books and reading material"", ""Smoke alarm"", ""Barbecue utensils"", ""Dining table"", ""Outdoor dining area"", ""Kitchen"", ""Wifi"", ""Body soap"", ""Toaster""]",$304.00,1,365,1.0,365.0,t,4,4,27,27,3,3,0,30/07/2024,24/08/2024,5.0,5.0,4.67,5.0,5.0,5.0,4.67,f,2,1,1,0,1.55
6465,486015419,02/11/2022,within a day,90%,81%,2,2,"['email', 'phone']",Ludwigsvorstadt-Isarvorstadt,48.13723038,11.56361665,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Smoke alarm"", ""Dedicated workspace"", ""TV"", ""Kitchen"", ""Wifi"", ""Host greets you""]",$286.00,2,365,2.0,365.0,t,5,5,5,86,5,5,1,04/08/2024,26/08/2024,5.0,5.0,5.0,5.0,5.0,5.0,4.8,f,2,1,1,0,2.83
6466,577513305,14/05/2024,a few days or more,10%,31%,1,1,['phone'],Bogenhausen,48.15439,11.61871,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,1.0,"[""Smoke alarm"", ""TV"", ""Washer"", ""Free parking on premises"", ""Kitchen"", ""Wifi""]",$200.00,1,365,1.0,365.0,t,21,51,81,261,1,1,0,20/06/2024,20/06/2024,4.0,5.0,5.0,5.0,5.0,3.0,5.0,f,1,1,0,0,0.31
6468,332487055,01/02/2020,within a day,85%,30%,26,54,['phone'],Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.08223655,11.50274402,Private room in rental unit,Private room,1,1.0,1 bath,1.0,1.0,"[""Dedicated workspace"", ""Hangers"", ""TV"", ""Heating"", ""Washer"", ""Clothing storage"", ""Iron"", ""Essentials"", ""Kitchen"", ""Lock on bedroom door"", ""Room-darkening shades"", ""Wifi"", ""Bed linens""]",$49.00,14,365,14.0,365.0,t,11,41,71,71,1,1,0,05/07/2024,05/07/2024,5.0,5.0,5.0,3.0,5.0,5.0,5.0,f,14,10,4,0,0.36
6469,188870694,10/05/2018,within an hour,100%,100%,1,1,"['email', 'phone']",Schwabing-West,48.17517,11.56709,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Outdoor furniture"", ""Free parking on premises"", ""Coffee maker"", ""Lockbox"", ""Self check-in"", ""Dishes and silverware"", ""Elevator"", ""Bed linens"", ""Dedicated workspace"", ""Hangers"", ""Washer"", ""Iron"", ""65 inch HDTV with Amazon Prime Video, Disney+, Netflix, Fire TV"", ""Air conditioning"", ""Freezer"", ""Free street parking"", ""Bathtub"", ""Oven"", ""Electric stove"", ""Hair dryer"", ""Free dryer \u2013 In unit"", ""Essentials"", ""Dishwasher"", ""Refrigerator"", ""Central heating"", ""Dining table"", ""Outdoor dining area"", ""Kitchen"", ""Wifi""]",$171.00,5,365,5.0,365.0,t,7,9,16,16,3,3,0,06/07/2024,18/08/2024,5.0,5.0,5.0,5.0,5.0,4.67,5.0,f,1,1,0,0,1.1
6470,10626848,15/12/2013,within a few hours,100%,64%,1,2,"['email', 'phone']",Au-Haidhausen,48.13827,11.60955,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,1.0,"[""Luggage dropoff allowed"", ""Outdoor furniture"", ""Heating"", ""Hot water kettle"", ""Dishes and silverware"", ""Stove"", ""Host greets you"", ""Wine glasses"", ""Bed linens"", ""Elevator"", ""Dedicated workspace"", ""Cleaning products"", ""TV"", ""Ethernet connection"", ""Sun loungers"", ""Washer"", ""Laundromat nearby"", ""Sound system"", ""Iron"", ""Garden view"", ""Freezer"", ""Free street parking"", ""Lock on bedroom door"", ""Patio or balcony"", ""Bathtub"", ""Cooking basics"", ""Hot water"", ""Oven"", ""Shower gel"", ""Extra pillows and blankets"", ""Conditioner"", ""Essentials"", ""Dishwasher"", ""Shampoo"", ""Refrigerator"", ""Baking sheet"", ""Smoke alarm"", ""Dining table"", ""Outdoor dining area"", ""Wifi"", ""Toaster""]",$197.00,1,60,1.0,60.0,t,14,14,42,69,6,6,2,21/06/2024,01/09/2024,5.0,5.0,5.0,5.0,5.0,5.0,4.83,f,1,0,1,0,1.86
6472,2541298,04/06/2012,within an hour,100%,88%,2,2,"['email', 'phone']",Obergiesing,48.11397803,11.58030206,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,1.0,"[""Hot water kettle"", ""Dryer"", ""Lockbox"", ""Self check-in"", ""Dishes and silverware"", ""Blender"", ""Stove"", ""Wine glasses"", ""Bed linens"", ""Dedicated workspace"", ""Hangers"", ""TV"", ""Microwave"", ""Iron"", ""Freezer"", ""Lock on bedroom door"", ""Room-darkening shades"", ""Bathtub"", ""Cooking basics"", ""Hot water"", ""Oven"", ""Hair dryer"", ""Extra pillows and blankets"", ""Essentials"", ""Washer \u2013\u00a0In unit"", ""Refrigerator"", ""Smoke alarm"", ""Central heating"", ""Fast wifi \u2013 103 Mbps"", ""Dining table"", ""Kitchen""]",$55.00,1,10,1.0,10.0,t,0,9,25,25,16,16,3,19/06/2024,19/09/2024,4.94,4.88,4.81,4.94,5.0,4.88,4.81,f,2,1,1,0,4.85
6473,583670318,15/06/2024,within a few hours,100%,54%,1,1,"['email', 'phone']",Moosach,48.170143,11.50924345,Private room in rental unit,Private room,3,1.0,1 bath,1.0,3.0,"[""Smoke alarm"", ""TV"", ""Free street parking"", ""Wifi"", ""Mini fridge""]",$80.00,1,14,1.6,14.0,t,15,31,61,61,2,2,0,22/06/2024,10/07/2024,5.0,5.0,5.0,5.0,5.0,4.0,4.0,f,1,0,1,0,0.63
6476,558604159,25/01/2024,within an hour,100%,92%,2,2,['phone'],Au-Haidhausen,48.12911456,11.58609657,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Hot water kettle"", ""Dishes and silverware"", ""Elevator"", ""Bed linens"", ""TV"", ""Washer"", ""Iron"", ""Cooking basics"", ""Hot water"", ""Oven"", ""Coffee"", ""Essentials"", ""Dishwasher"", ""Other electric stove"", ""Shampoo"", ""Refrigerator"", ""Smoke alarm"", ""Central heating"", ""Outdoor dining area"", ""Kitchen"", ""Wifi"", ""Body soap""]",$201.00,1,30,1.0,30.0,t,3,3,3,14,4,4,3,20/08/2024,23/09/2024,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1,1,0,0,3.24
6477,583777546,16/06/2024,within an hour,100%,95%,1,1,"['email', 'phone']",Obergiesing,48.09009825,11.60785865,Entire rental unit,Entire home/apt,3,1.0,1 bath,2.0,3.0,"[""BBQ grill"", ""Outdoor furniture"", ""Mosquito net"", ""Hot water kettle"", ""Coffee maker"", ""Outdoor shower"", ""Dishes and silverware"", ""Backyard"", ""Stove"", ""Host greets you"", ""Wine glasses"", ""Bed linens"", ""Dedicated workspace"", ""Cleaning products"", ""Hangers"", ""TV"", ""Sound system"", ""Microwave"", ""Iron"", ""Freezer"", ""Free street parking"", ""Room-darkening shades"", ""Private entrance"", ""Bathtub"", ""Cooking basics"", ""Hot water"", ""Clothing storage: closet, wardrobe, and dresser"", ""Hair dryer"", ""Pets allowed"", ""Shower gel"", ""Coffee"", ""Essentials"", ""Dishwasher"", ""Long term stays allowed"", ""Drying rack for clothing"", ""Shampoo"", ""Refrigerator"", ""Baking sheet"", ""Smoking allowed"", ""Smoke alarm"", ""Barbecue utensils"", ""Dining table"", ""Outdoor dining area"", ""Kitchen"", ""Wifi"", ""Body soap""]",$250.00,3,365,3.0,365.0,t,1,1,1,81,9,9,0,22/06/2024,25/08/2024,4.44,4.89,5.0,4.78,4.11,4.67,4.67,f,1,1,0,0,2.81
6479,13643386,28/03/2014,within a day,100%,25%,1,4,"['email', 'phone', 'work_email']",Ramersdorf-Perlach,48.11176,11.61137,Entire home,Entire home/apt,5,2.0,2 baths,2.0,2.0,"[""Heating"", ""Free parking on premises"", ""Coffee maker"", ""Children\u2019s books and toys"", ""Lockbox"", ""Self check-in"", ""Dishes and silverware"", ""Blender"", ""Stove"", ""Wine glasses"", ""Bed linens"", ""Hangers"", ""Washer"", ""Microwave"", ""Iron"", ""Freezer"", ""Room-darkening shades"", ""Bathtub"", ""Cooking basics"", ""Hot water"", ""Oven"", ""Hair dryer"", ""Clothing storage"", ""Shower gel"", ""Dishwasher"", ""Shampoo"", ""Refrigerator"", ""Books and reading material"", ""Baking sheet"", ""Smoke alarm"", ""Board games"", ""Outdoor dining area"", ""Kitchen"", ""Wifi"", ""Body soap"", ""Toaster""]",$145.00,4,20,4.0,20.0,t,0,0,0,51,1,1,0,17/08/2024,17/08/2024,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1,1,0,0,0.75
6480,3951328,23/10/2012,a few days or more,30%,14%,1,3,"['email', 'phone', 'work_email']",Maxvorstadt,48.14762736,11.56455079,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,2.0,"[""Smoke alarm"", ""Dedicated workspace"", ""Heating"", ""Washer"", ""Sound system"", ""Kitchen"", ""Wifi""]",$330.00,8,565,8.9,565.0,t,9,34,64,339,1,1,1,27/08/2024,27/08/2024,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1,1,0,0,1.0
6482,88303939,06/08/2016,within a few hours,100%,55%,3,3,"['email', 'phone']",Maxvorstadt,48.14975962,11.55459954,Entire rental unit,Entire home/apt,3,1.0,1 bath,1.0,1.0,"[""Luggage dropoff allowed"", ""Outdoor furniture"", ""Heating"", ""Coffee maker"", ""Lockbox"", ""Self check-in"", ""Dishes and silverware"", ""Blender"", ""Stove"", ""Wine glasses"", ""Bed linens"", ""Elevator"", ""Dedicated workspace"", ""Hangers"", ""TV"", ""Washer"", ""Microwave"", ""Freezer"", ""Room-darkening shades"", ""Private entrance"", ""Bathtub"", ""Cooking basics"", ""Hot water"", ""Oven"", ""Hair dryer"", ""Clothing storage"", ""Extra pillows and blankets"", ""Coffee"", ""Essentials"", ""Dishwasher"", ""Paid street parking off premises"", ""Long term stays allowed"", ""Drying rack for clothing"", ""Refrigerator"", ""Baking sheet"", ""Smoke alarm"", ""Paid parking on premises"", ""Private patio or balcony"", ""Dining table"", ""Outdoor dining area"", ""Kitchen"", ""Wifi"", ""Mini fridge""]",$370.00,2,365,2.2,365.0,t,21,51,81,261,4,4,1,18/08/2024,01/09/2024,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,3,2,1,0,3.08
6483,583859772,16/06/2024,within an hour,100%,100%,1,1,"['email', 'phone']",Neuhausen-Nymphenburg,48.15435,11.51482,Entire rental unit,Entire home/apt,4,1.5,1.5 baths,2.0,3.0,"[""Hot water kettle"", ""Free parking on premises"", ""Coffee maker"", ""Siemens electric stove"", ""Dishes and silverware"", ""Wine glasses"", ""Bed linens"", ""Elevator"", ""Hangers"", ""TV"", ""Free street parking"", ""Cooking basics"", ""Hot water"", ""Oven"", ""Clothing storage: closet, wardrobe, and dresser"", ""Hair dryer"", ""Coffee"", ""Essentials"", ""Dishwasher"", ""Refrigerator"", ""Baking sheet"", ""Smoke alarm"", ""Central heating"", ""Private patio or balcony"", ""Dining table"", ""Kitchen"", ""Wifi"", ""Toaster""]",$450.00,2,365,2.0,365.0,t,10,10,10,10,4,4,0,21/06/2024,07/07/2024,4.75,5.0,5.0,5.0,5.0,4.5,4.5,f,1,1,0,0,1.24
6484,47092014,21/10/2015,within a few hours,80%,67%,1,1,"['email', 'phone']",Maxvorstadt,48.155,11.56689,Entire loft,Entire home/apt,4,2.0,2 baths,1.0,1.0,"[""Luggage dropoff allowed"", ""Hot water kettle"", ""Clothing storage: walk-in closet"", ""Coffee maker: espresso machine"", ""Lockbox"", ""Children\u2019s books and toys for ages 2-5 years old"", ""Self check-in"", ""Dishes and silverware"", ""Other stainless steel gas stove"", ""Wine glasses"", ""Bed linens"", ""Dedicated workspace"", ""Cleaning products"", ""Hangers"", ""TV"", ""Laundromat nearby"", ""EV charger"", ""Bose Box Bluetooth sound system"", ""Freezer"", ""Room-darkening shades"", ""Bathtub"", ""Cooking basics"", ""Hot water"", ""Oven"", ""Pets allowed"", ""Extra pillows and blankets"", ""Children\u2019s dinnerware"", ""First aid kit"", ""Coffee"", ""Dishwasher"", ""Refrigerator"", ""Central heating"", ""Paid parking on premises"", ""Dining table"", ""Hammock"", ""Kitchen"", ""Wifi""]",$270.00,2,365,2.0,365.0,t,18,46,76,249,3,3,0,11/08/2024,25/08/2024,5.0,5.0,5.0,5.0,5.0,4.67,5.0,f,1,1,0,0,1.96
